query_id,query
241ecd1a2fb96fbd20c62b3ef1e3f2fb9b05efead735fb8815b576d443a7c214,I want a sci-fi film
6eb8591ae7530a05ae77ba5de49b310565949b4bc69c44daa106e0a92c33091e,Show me something animated
b031aceba4c15f6af433beb07a6e88c41a106317d6c9ac38dc594c1742dde6c0,Do you have any films about space travel?
f9e3b0992bd3a4314266322d0d16f33c5bcea6c88607f37dd58ddbd30fe399e0,Can I find a film set in a dystopian future?
8d9dd2ff617808fdf5326626d2510790e3b4046c50857fb17090ddf38d3698ff,I’m in the mood for a romantic comedy
dcc81e7bc16bd38f1fb3d909067c0c34fd6831bae4b46b448bc3531f554f92b6,Recommendations for thrillers
de2b3dfd7cc8ae19f5f5e41dde123c5d1b5a623876873cab6e17956777566134,Display movies featuring strong female leads
a0d1aeccd77d591fa18c68a5aab4ab1cf3305da397badd9a80a108bdecd1acbf,What are some classic films?
3b7086b600763a0aa448429d6180cd42dae78867173e49b4dd92f8e87b124b58,I’d like to see a family-friendly movie
6d1f96cbddcf15db8f6c245bb86a8d0fcbe190eb8c1fb84f1b778fa7a6eb1b0d,Do you have a film with time travel?
9d859582cc3cc8df6ec2215bfe6cf8f6a605eff7660d1874264897c6627aacb2,Show me a coming-of-age story
303b465c14502e687644242ab7103a6352ddc2357d82fc2ba648f7069eb373f7,I’m searching for an artsy film
b4c8e354b40d6de83aa505382db211766736ab3de0f7545b959b0241c2fe0e1d,Recommend a film from a foreign language
25e3ef82a4142c4a0584d5a096c06fa4de5485bdf7dea922fa7c85c55d7eea77,Find me an indie film
859291a42ab7257b3157918953c66482d77ff3079be45223cc00e04495cf5fe5,Can I see a biographical film?
92787bf83b664141a6a22542cd5ff07d27f0e49283601abe299cd35c1f9c9b54,I’d like a good musical
34dcb3eb32ce1a39c7e3dffca085858c53d6b6c711a16161223cb359e469ff18,Find me a fantasy adventure
e0d035e6f2240c08e2c305fa4abdb4e27036ae1fe527afe82b9aa054b7c1cd62,Show me cartoons for adults
02e6756d56cbc14891effcfa01c4560e77a8a9c2a37ee415c4a504d406d52e0a,Could I watch an historical drama?
7e8631a473bd8768df70a30facfdf2310a8f7b971362540a6c2fd06df976cb9a,What’s a fun road trip movie?
52b32c67333b30f798d1e0baaebb9de6189779f33c036807c9f4727c186bd0ce,Find a seasonal holiday film
1bfb24a943c4e644cfee282b79975e58598e981333c8943035a2d785c661ed14,Can you find a psychological thriller?
ad890f018dd11de4edc136ecab8a3ccf7cc12a601a09c20d784299d7aea7d913,I need something with a strong villain
cfb331683c20defb9b150ce6042446e1b3231aa58287601b0f434b47fa1d17aa,Search for cult classics
55756c1d0f5298d4b9c30d8b419e121632068675cefbc78ae79e19a6ccdcc6b3,Find a movie with Chris Pratt
9797db02154ec0babcb7968e5307d28ab2006b2b9fe7239d42564f9123b42e00,Show me an animated film
b96e6ecf78abfdd25a10c976cb4b5790352ede72b61ceeb485d8acefd9941650,Something set in space
93ef25b6f9688dd4dda309d3c658a9108a37f83d5189d5b9e9a109c62d3c35d7,Looking for horror movies
eb45aa749930c7927cd1fe8493b694b5a3e5a4e9181b83261526bf61c73c94ae,A thriller with a twist
8bcc2604132f33a6f68f22cd367510cd3cd314182dbf9bdcc22b0c85b36bed66,Can you find a movie underwater?
927f2cdb9a4dac73f9a6dba8dbda9ae4c70210742900689499701d41260fca97,Give me a classic adventure film
c86c1fcbbe1797fa1e568a974f1e720660f2b83289bec93a124b88c2812c5ce7,Suggestions for family-friendly movies
72ecf6018e082d4d8e67d7e780b4c5d4e301a165c34174bbfc66998a3f318cfd,A sci-fi release with strong visuals
edab9afc737cecede8f2600881245c5532cb33ab4622e5cb3e81a43118701275,A musical to lighten the mood
95a501d2323423d8106a02f6b324f95eb87ee9f27fc2b48e62c31fb26abffdbe,Find a cult classic
c382870483139bcb1a29b04f6b4fb5995297d1daf65fac94a79a5bc8c7040a2e,Any movie about friendship
c5cc2d3b58a60eb2614e0bcc85f1d9943847dae5a8cf2b65511afc8f35c5f463,I’d like something set in a small town
2abeaf6036bb40f03bee7224241c8ec61f42ab3642399212b22f5f61425c6eaf,Looking for a mystery film
8534a69bc89e3df2019c5b05761f246311118602e11c4e28fb7c1bd7821762cc,What's a good action movie?
8296cf41b502ccd23c9fbf0edeee65a7bfdf1609d1b41b126e0949dfdbf4485a,I feel like seeing something inspirational
355933c94deca060e26d03269c3b803c7f81ee2c75449d9d12ba2a62ed704948,How about a film set in the jungle?
b62e41a925b84d9695ae9545d5616ab27479bc3158b3bd92d3fe735611f012d6,Show me anything with Meg Ryan
1c741f5cfca3670db28af54e9367886eb49b28db30581c7d03928f6e7be4f568,Can you suggest a feel-good film?
f434553b9f0ad6539c40dec2edc37ae0bce5cfa8b0efbad8dec15a0db6e5cf4c,Give me a story about survival
7e9ff95c98beed88763397532f1bc2cd6f230c4d87dcbcce73f902631d74e16d,I want a film with a strong female lead
72ca79e7e4ce59b4e8a36c7df455527739115f187ae53e7f0a666d282293b25c,Looking for a franchise film
fba1384b2c8841a7ecf818d4670bfd63c712171769c80a8ba8c53a48d2e00739,Find something with Meryl Streep
42e0cb1aa07fa7a778a1ffcde89e828adc78de646412d3c308d3392e05704327,A narrative with a supernatural element
74f5ab4d8c6d18615a4f045989ceee1dd362fe2c2ad19905d9a8d29b1efc4f77,Any thief movies?
32d596eb9e5a9dca8f35e8fd62141e7eba1cc51b9f10f9a15953c648f1e6a5ba,Can I get a romantic drama suggestion?
d1e597bf7a3511cd72a0d67652e1c8e16d9a0e8eede0063df9157a7fd3dcf58b,An arthouse film recommendation
7f844104d07c471868197fd138bf919732c0eea7b1f0b53590e854ab871e1517,Looking for films with a literary adaptation
dee3d018053b3f942ad7d6a198f03002e548d2a6779442ddc8d6fd5c7e9caf00,Show me a quirky comedy
bf92c2afb65a9fdf452fe1f3ef6fc1b2dd8300cfce73a45759db00f0c2b83434,Give me an animated feature with animals
fcc634a4cf00818f270b1144195426521022716f55572f76701baeb4c15de17f,Any old-school western I should see?
a653ef5615c5b45f467023ee3865dfe7acf714c85638df53c2b819d458478620,Something with an unusual plot twist
47cb0785de044cf99a9aa7e29a260895956eb0fd7060c6165de7b8053ea0aec4,Find a historical romance
9c72a07690d70f2c6cf8c323af2fb2b0209b365b9c849d61275d7f3363e6877b,Can I have a slice-of-life film suggestion?
09c1a99240deb632c57820467ae6f70236a5743763675789fc5a6c591203e5b9,Any ensemble cast movies to check out?
4d65c6f1711f0e93967e182a103a9e489c90191254f385680b24c563bfe7c3ee,What about a film steeped in mythology?
1f32c7ef6d3aec8f9e44a1fd2dab30579a2b660e0ae59954a6d42834a6df924d, I'd like a revenge story.
46a4f7fcd0e99040344c6891d8bfb8701ed17092939bd4ecc38d24386510d25b,I need a classic thriller
7cc4b59cccdee7794922357542fa11554e4852a6661257d16f35486f7ddba94a,Show me something romantic
429a4452b4015d729eb37d32fd90caae51982b3bdcd3c3ffb078d2e884ef28a5,Films with clever twists
48b03ed3cf8a5b6833684b8928187e19c3bcfe12c3eaa679dcba0ba946b561fb,I feel like seeing a fantasy
fe1c4f0ca83c131cab7bad8d48365c1f927491c75430a072d0737eaf8dee8cba,Are there any movies set in space?
25d96650a3a5f8687552f294f385ee454c03963afab16b83907c07b0904dd6a1,Give me a musical
14f9f429abc34f1238a262f522498b6446470f7d95d8199d0dfbd743c7cf5be9,Something with strong female leads
3b0f6aa884c0a55feefbc6ad8a5196b74e9b3097f42f6b2cae418d23bf49f45b,Can I watch anything with a unique storytelling style?
060cdbb2c1c017c1ed2e089bb320adef054348915709190b3f58c4665362c538,Reveal films based on books
864cf70df3e641fd724597590d3e6bd2adfbacef37432cc8b3cc49ef2712ad37,Show me an animated movie
ff407b97cde149b7a164d7e7ec8d5650fe83b99129dea3bec1f3a1091c81fb77,Looking for a poignant drama
98bfba35c15cbefb5e78b0bb5fe04ae59766ca89e071a08eb508224c5bb14166,Do you have any feel-good films?
087138ea4fd488aec0caff808b01e6e1062ae09033aa329680e558c117997e80,Movies featuring prominent historical figures
badcdad20db661413916438e08038a278ea693b59b523060ae0b61c396696d27,I want to see a sci-fi adventure
9aa5a6f9e98125bf2715fb38f72336ea8ba9f1f70c67ea2a0756c0db943eedc3,Suggest a movie with a surprise ending
2d5d12ffd756e3b386a0d492378b158f1179437b4186c866b7d9ca2d7ef9f768,Show films with a magical theme
cce09aa7a680fae9db17434722b0aad6b8e4dc7ac0f4dd0f10a56fd14f30f88c,Give me something with a road trip
c43fd151dbf3651975a8051f5e423866e8c64ed08d4f0837c05c12f1aea0d72c,Are there comedies with lovable losers?
08d3942d5bcd3dfdd227c2fc2bf4a9347d18d718a5a95fb0203b3d3521f18209,I would like to watch a crime film
042d632f3f75284893e99e6c9d96dc1a768b3dfd3837c7808059dd86875c7336,Anything with epic battles?
169253e1fa9c7356b65323f1c87ad9d26beeb6b387199bda104be95e7f55f09d,Show me movies set in the 1980s
341fbad36bf8046345975fdbc9435b66d661b7460522c8e337da22279ead9ec3,I’m looking for films with ensemble casts
35b298db79accff86535044a236600c717968c1895eccfa7237ec29a46b5ad70,Can you recommend a film with an unusual premise?
0434f74debdadd1d2542d1ac315e44e35222daa8110aae80f686674b367a6938,How about a movie focused on friendships?
b2840d0ce3261e8f3503498f1ea68792bf9574a1ab52856cb6371bc1cadefcce,I want to see a couple’s story
13d6ca7a59803f79b4d78f4d29ca35f7c9750a1455f3915f29b75c8f97daa9df,Please show me a movie with a twist
90619468a0d61401395e4a30ede3ac9e1bb223f3d982f98b34f5511f966bd8d0,Films showcasing artist struggles
87418d3623f9882ea5c65d6db8a0264248c720c97bdb4c9072197715cce7eb2d,Are there action movies with strong character arcs?
01a6b0ddbd676a1606bb75abcd29f602346a3138def0de52d916427e0209deee,Show me a gothic horror film
06211ff4026a56b8b52a0a0837b49efcb9fa2c50052e18501ac656cfe0531b09,Anything featuring a war plot?
a8eb8a87bec916ccb50782e672730ec91714cf96ec927ac785841d85f306e51f,Suggest a film based on fairy tales
a9752a32c9f02f40645bdbd0a9d9839c80ad99e68f9d1a652f3fa3183bf70106,I'm looking for a movie involving ghosts
4ae1e7fa36f6966e2be6d87bf44610c6675fc5b4b03f691574963a37f3e730ca,Do you have a film about surviving in the wilderness?
0c0cfa66295e54b6e07db315bb31ec4d995caed7b12ae89fbc68f5ca9c64c596,I want a suspense thriller
d5db7f26f3eef1caceb4b51e028392a6e7b1f0db6bf5f244c48494bcb854c7f1,Tell me about a fantasy film
15f4cc147ce9203525bced6ba992d5e9d6db9ee61f6b57e9798b707f6fe9df21,Is there something with a strong female lead?
8277385f595b1e41e5240d2975d97cec341094321a5270731ade1eccb4799817,Recommendations for an action movie
4e4df195fa783cd2c1352f3e0164a3eb5d956c6430584672f39ab79b7c1a6540,What’s a good romantic comedy?
b940e6a8a69dce40d70b0ae8ea393337b383ab79833689ab2b39c0624d44aab0,Show me a crime drama
582bdc39586c9bba354ad8f919cfeff3fabeaef5b2f324baf790adc52ce14a2c,Looking for something set in outer space
7e3f80ecffc1330b1ae12d87af405b6fcf44ca793e1583cba5a606f5bbcc95c9,Find a film with great animal characters
9e5087bf75d4cf4e772b5ece325d80fd2231f708bb9d7ab7a3acfb59077c8a12,Search for a coming-of-age story
3420d8da2383fdd4b8891ef6aa5b94fa8fb98792fbf21c3df3de5210e4721cfa,What's a classic musical?
501885ae913d0547295fd10aac7faf2fa2cb33a0454e04106aa981959a022ec3,Show me a film with a charismatic villain
ba10282fccc26242130824274210e5c235eda2035b94bf36a77370cf2e9edef4,Any films with a historical theme?
6465943afe0e06975fda3090f3d376131b2d1b7ce0614c2a0929c7e273f294a4,I’m in the mood for animated adventures
69d29a0e3b93fdfb71cca99191166fa8cc777fa794c327979e3bdf31b097133f,Can you recommend a heist movie?
4591b82cc0dedff59bce4f8f91aab01b486a85852056965fa1c47b33718eafce,Tell me about a movie set in a small town
86a5efd638d6e329c1f2c596ec808fee9b131768979cc9e5f1261ac421522815,I’d like to see a story with magic
cd8e5b24e101abc7c14a6f0c2939849b4d60621ffefc6c1afef3c0bbf4d0390c,Share a family-friendly film
6bbacaa3e74e0f74beafc89e7251d2a302a13dcaa7a9147997855628a0ba3372,What’s a memorable film about friendship?
0ba305e6e376a6954a301af0782f05f1e745a70a38090b1eaa305f8ce76972be,Find a psychological horror
1fed5ec0b503ccbb5cd25d7cbf8ae87cc3a08b74dbdc7b2ffc073a88e5be8767,Any engaging superhero stories?
8de7d7ff82caf62543759474dfb6909eaf85f818f92d0fa11431fe8731beb717,I feel like something with a deep moral story
16713e7eaf61faa58a0b364acb01f9a764a3da8ffaf82ae88a9c0f2d60c0e5f4,Suggest a film with beautiful cinematography
a27179ded9139975e5fe540e8ac2de5ec8ca2c2d5c12b07e2bcb2cf82cc1d718,Show me a film based on a true story
8583292a4ab4d36fbb541f56662d9928720c33b68a1bf7382b42929ee19616d0,Is there a good story set in the wild?
bb1777edc55bef4e09cafabed0d6bdd1f9c906b5538050d767387e281d25960d,What about a movie centered around art?
e6abbc7d678d334e0b567f86e28f78e1257e9bde23166a063d5d21f1fbe5479b,Find a political thriller
dd83bf0379e1b04fc0d614239849e87cc846da4b72410cccaa9a63af0a0d303c,I'm looking for a sports drama
fa12b3ade0d5f8d3ce90ff2de718d6de8db6fe9c0f76faee8358e21e4e83c5ae,Share something that has a unique animation style
3f571c13bcc48cc00e558c5613eee9c68265adcfddb3572d3514a24fbb722c27,Show me action movies
a31112a78f458c9086590328730dd1882c0637ce7ff0d26ee2f908103df1cdc7,Give me a drama with Meryl Streep
93dfdd4d427364aee6e205dd626eda3c1129cb1e54023328a5aa12b74938c662,I feel like watching something spooky
3aaf387785e7f51549bf8afdd71826093ca83cfb7c778a8bb2d481db5df0f222,Are there films set in space?
04595cf10edd7921809cd556d4ab2de2159f926f8ffe1ad251f1d02450283b0c,Suggest me a thriller
f7811fe53a1e6511208a84caf5f932d164cc7e98563fb2c9d0aa830e22892a78,Something with Robert Downey Jr.
bdb1cc650e2a96d311f6382ab32e55902261cde13933b8d016997234de3133be,Give me a family-friendly movie
6353c5a6bd920a7f7de3808bc3534e8904c91775c4a2df0d41f4709a639e3337,Looking for a fantasy adventure
89dce2c1928d8987a395bf10d9da9a52e30b1898889dbfd830aa7902aa8dbfb6,Are there films directed by Spielberg?
2ebe0f9a3b751d29b094fa72bb2b9c8f2b907bf34ee46bf8b80af36549839741,Show me something with a strong female lead
b15dfba6a3dc678c3d5e5d647eaa1ed601089cd292d0ca49b3670ef3b7c8270c,Tell me about a movie with music in it
91033775d5161912b4d48c901df7bdc859b0e0a66ac12a1d98ad3669ef06a8ca,Can I watch a story based on a book?
05beacc38e9628411d94520b1340a7826c8727bb47ac65f6101de0605d6e706d,I want animated films
b7e6f583060f2d33dc189f7405738470f21c92fce73bc2b3bc6fe8ac305ebac2,Show me movies about friendship
ff4dd3c9058e87d37a3b4c19805c0764b6e78b8ad894c5cb6a2c17b4c9b02088,Suggest a heist film
23a3a930fe573f59c023404a49c3a04bf28c28950d3c103dd7f537d521666754,I'm in the mood for a classic
907b8dfd328f9875668f3acf49a1ab8fd35be490835602a71515a5e0027f773f,Give me something set in the wilderness
25d33c037019d8c65f1cfb82b0cd812c918a2f6d0c437a5d86806fa7318913ea,Suggest a movie based in a city
67bff8aea925d363eac8927dbe22a5e1cb13d640547cf30351d74a2f1601473a,Looking for a film with mystery elements
84722aedae5c39c1b4458ab346812070a6c5abb2092dcdfb0ea6f92814abf955,Can you show me something light-hearted?
15930c5608d745ed9aac1a56fdd792d506e61fb564ed028cf56311886af4026e,I'd like a sports movie
ef57ec2fbfd2694d7af9c50f9ece485ffdb44c05f88a93e5e70875d935c9adff,Give me a story with magical realism
9519c1fac87b091e683c27999b1499b3fe0495531f93753c95d72ee136bf58f3,I want a revenge tale
c935577da6aa59a4cd1c155f77f685cf45a5c945f96db4cbdcc29846e2169e6f,Show something with a plot twist
a9ec10e7f89fda2fe4be02f33c54333080d0edd413a2ec7b4000633568cc1e62,Suggest a film with a road trip theme
b8d67a288b35eab94bac3ad10c44fdbb102ad1361c11b5a84d89328290cd771d,Looking for something cozy
dca240f0f6125a6b1ccb72fe3ac3f90de95436b4610a5881bd8f77a935ec84bd,Can I find a coming-of-age film?
1e37413b29722971a9c912a4d7fc9f3691d5513382553c6a7de94948dafc4980,Recommend me a foreign movie
ac57f4edc34d131e9d4942371fb6907ff20d70360966c86b640b181276623658,I want a period piece
608e4c1ba7a6cfe6629b6030bb57fefad0a44be10bc79da78d9f2c7dae24d6ff,Suggest a film with a festival
d68019b980edb52dc3ccfebf444316e7790949bf498ec8bf5d7d918dcdcd8cc7,Show me a historical drama
a332322735df6ca40bf7e3ad2b054e8a3b87037dabf9ee5a9dec6e06ff9bb593,I feel like watching something Sci-Fi.
07a65256a00c80e46490420a3be00bb75b517bafbb02ea885b67e01207404f93,Can I find a good thriller?
07cdef078bbc899a450ca87630e17a12f04f6d0c1c83ef0ce78e835c20a2ad8b,Show me action movies set in space
baaa3743698e69b4234144be9ff84028ed25e6f974a31c2ac196b8f6502d418d,Anything with Denzel Washington?
06a97bfcd8e12759023a4be80772e66d85eae07dd85ee864471c33628c39d399,Romantic comedies about wizards
872c73913aa05386ec20f301a2c77e870334630db107e02b01f6578b2500d5c5,Search for films with unexpected plot twists
32c25da1c0f38794e0dd2c703b112490010b2a62d3f674371766ae36a963e5c2,Tragic love stories
c81f2644b73f2ade9f37991d76b3ee7600d33e483333dc4e1c8df93e1d6e2d3d,Fantastic adventures suitable for kids
90483ccf8cde56909738c379de31b9781c5042d5da79751be6d9398a52a4295d,I want something Amish-related
ed4900a1e2cc749648385ca1c35c851d4c175851665f4cae9623a64c2e30cf22,Discovery tales in science fiction
27d9fee1c86a0661e16ee69548152840eef5caa50d3549558ee323a27d81cb17,African-American cinéma classics
c1206a925942c6a925c1330fcea846783e69e3de5806a35be8b8253d54f83284,Stoner comedies a lot stronger than usual
65d8fa9afab332d4c1849484fc7cb44b4abc0c29acc8b81d01282013378d1d94,What’s a good thriller?
6c28e18777910138a5293cbb33253921b4134b2089a3d6ab050002b9ddd08819,Hidden gems from thrillers
7b9a4ff72ab20e8957851ee6d6b395941d5dbbb6253b7d16ac9798298a885082,I want to see a romance movie
503b593e90dcd823a74b52460080ea6bef6362e7acb9e8f609fae79dd9693999,Are there any films with Meryl Streep?
528c41a7576cbe484228a1fd108460a850a41e66064497692f3afe8ecb32a444,Show me an animated film
5cc6dda6c8dd5f4f28cc229b52f22423cd059c1371e9903883243a45079775c4,Give me something from Studio Ghibli
a5ead8f2f6b235e7012d9abe557a580b64e2031a096c944f705ecfc24dead782,Looking for a mystery
de91c594c6cce995c6faa5371df69b828704e19dc709ab25dd06d7c4c23aa4b6,Any good action flicks?
8e70e3e7f1dc803a2eab9fafed28b52432d655b15959972e0ad4e25e7cf69aa0,Show me something set in the 80s
addab53c9e29b053ef4ab93a63cced23a752344943945952635deee891d56dec,What are some classic comedies?
f53b8c81c50fc6acd69940eb00a2d8b095a4edfbbbc1fce2324bbc43fbe03339,Recommend a film with a female lead
32c4d483cb38e9613a4dd9b35b10a188da4cc0fb348fffaec999b53de6074381,Can you find me a fantasy movie?
e027b142aa853bc3c99d69afc18015910d37ed76013c2b3a459a5920845596b6,I’m in the mood for a great drama
e61739512e8fba67bc98ee58321a35b5cd725161ab3527a35422e29b1f7e31ac,Show me a film about friendship
0049842f16700391cb1d47005ed0789fbbf6c113664044c41cf0ab693074894e,What’s a good sci-fi movie?
af94dfce9fdce71051c4ae74e47da087595338f059342e632d7d6d85667346eb,Suggest a movie with a dog
32ea03ee4739557da2c3e3cd73b3649caebec334c43bee8c9fe84e1193ffbec5,I want a nice family film
bae3963f2db6fca264f1538961f558780a01594efe856d0f0568650eef77e779,What are some animated features for adults?
724c44af54dd7d4f49c98120dc40625017ac557acc9927e8a7cb69b6b8f3ffb5,Show me films set in space
733594bd9cba21b89ec1bd4dad2efc22df099b47108d8b3b6f2c5cf16b8e6543,Any great films in black and white?
22e33f2bd8a966764e1249f34e4baf922d3a857cafe65d894987c71edc07a2cb,I’m looking for something with a strong antagonist
1916cf349a9ecd5ee18b539e42fee5945f28d79fbc8f4c1a79e8dbe0d4921b2a,Find me a musical
d782c5fbefabcb62c48d82fe9781dfeae8ce2c8a102071a054c222a6660a2ca7,Suggest a movie with mind-bending twists
23c117bf287820e001396ea229de4d1e77ad6549888cc7990d43b20346971f97,What’s an underrated romance?
81b96855ebdcb227a4cb9b2670384667d98154fb08bc546f7d670d715550f465,Hallmark-style romantic movies?
8af945cced5e71200c0a22310e27ba62e3def7e0b4fd656e2e55be0431cacf37,Any hidden gems from the 90s?
cbe127fb6939c91b7fd0ac3def5b8dd45516ebe3af99cf33cf57da5f1f86d878,I feel like a crime film
4c27e16f1c8a83a7eab7fd8d2c8c9e0983ec8f91104d5026ebb114d0b9e4745a,Can you show me something action-packed?
49067c52a9bb8e3ec5da8011016c3a78613fb16eff952e0abbcc5d3a6a523ad6,Looking for a suspenseful thriller
9cf50cef724f736881b3548ebe814ebb8263f6ee63643eefea52ba07abbc6d03,Suggest a film with court trials
be8ba470f80b08c7d94282f579f16a7f8c40e6fad930bf9a2f7703c9ac378333,I want a story about self-discovery
278d0aa2b7f63f21ee40ca6180b7fdf07bae5dc305b7b513767cb244b1b0b650,What’s a good film featuring food?